"","Basal","pro-Th1","pro-Th2","pro-Th17","pro-Treg","pro-Tr","covmod","covsev","covtgfb","covil10"
"Naive",8192,8192,8192,8192,8192,8192,8192,8192,8192,8192
"Tex",4172,616,394,0,0,0,616,2632,0,0
"Th1",470,3140,136,0,0,0,3140,1968,0,0
"Th17",0,0,0,4352,78,0,0,0,1728,0
"Th1R",1044,3996,132,544,1336,1336,3996,3192,5160,5232
"Th2",390,0,4502,0,0,0,0,0,0,0
"Th2R",56,44,56,0,0,0,44,40,0,96
"Tr",2060,396,596,3296,1055,6856,396,360,1304,2864
"Treg",0,0,2376,0,5723,0,0,0,0,0
