"initial","final","genes","values"
"Anergy","Anergy","FOXP3","1"
"Anergy","Anergy","FOXP3","1"
"Anergy","Anergy","FOXP3","1"
"Anergy","Anergy","GATA3","0"
"Anergy","Anergy","GATA3","1"
"Anergy","Anergy","GATA3","1"
"Anergy","Anergy","IFNGe","0"
"Anergy","Anergy","IFNGe","0"
"Anergy","Anergy","IFNGe","0"
"Anergy","Anergy","IL10","1"
"Anergy","Anergy","IL10","1"
"Anergy","Anergy","IL10e","1"
"Anergy","Anergy","IL10e","1"
"Anergy","Anergy","IL12e","0"
"Anergy","Anergy","IL12e","0"
"Anergy","Anergy","IL12e","0"
"Anergy","Anergy","IL2","0"
"Anergy","Anergy","IL2","0"
"Anergy","Anergy","IL2","1"
"Anergy","Anergy","IL2e","1"
"Anergy","Anergy","IL2e","1"
"Anergy","Anergy","IL2e","1"
"Anergy","Anergy","IL4","1"
"Anergy","Anergy","IL4","1"
"Anergy","Anergy","IL4","1"
"Anergy","Anergy","IL4e","0"
"Anergy","Anergy","IL4e","0"
"Anergy","Anergy","IL4e","0"
"Anergy","Anergy","IL6","0"
"Anergy","Anergy","IL6","1"
"Anergy","Anergy","IL6","1"
"Anergy","Anergy","IL6e","0"
"Anergy","Anergy","IL6e","0"
"Anergy","Anergy","IL6e","0"
"Anergy","Anergy","RORGT","1"
"Anergy","Anergy","RORGT","1"
"Anergy","Anergy","RORGT","1"
"Anergy","Anergy","SOCS2","0"
"Anergy","Anergy","SOCS2","0"
"Anergy","Anergy","SOCS2","1"
"Anergy","Anergy","SOCS3","1"
"Anergy","Anergy","SOCS3","1"
"Anergy","Anergy","SOCS3","1"
"Anergy","Anergy","TBET","0"
"Anergy","Anergy","TBET","1"
"Anergy","Anergy","TBET","1"
"Anergy","Anergy","TCR","0"
"Anergy","Anergy","TCR","0"
"Anergy","Anergy","TCR","0"
"Anergy","Anergy","TGFB","1"
"Anergy","Anergy","TGFB","1"
"Anergy","Anergy","TGFB","1"
"Anergy","Anergy","TGFBe","1"
"Anergy","Anergy","TGFBe","1"
"Anergy","Anergy","TGFBe","1"
"Anergy","Th1","IFNG","1"
"Anergy","Th1","IFNG","1"
"Anergy","Th1","IFNG","1"
"Anergy","Th1","SOCS1","0"
"Anergy","Th1","SOCS1","0"
"Anergy","Th1","SOCS1","0"
"Anergy","Th2R","IL10","1"
"Anergy","Th2R","IL10e","1"
"Naive","Naive","FOXP3","1"
"Naive","Naive","GATA3","1"
"Naive","Naive","IFNG","1"
"Naive","Naive","IFNGe","0"
"Naive","Naive","IL10","1"
"Naive","Naive","IL10e","1"
"Naive","Naive","IL12e","0"
"Naive","Naive","IL2","1"
"Naive","Naive","IL2e","1"
"Naive","Naive","IL4","1"
"Naive","Naive","IL4e","0"
"Naive","Naive","IL6","1"
"Naive","Naive","IL6e","0"
"Naive","Naive","RORGT","1"
"Naive","Naive","SOCS1","0"
"Naive","Naive","SOCS2","1"
"Naive","Naive","SOCS3","1"
"Naive","Naive","TBET","1"
"Naive","Naive","TCR","1"
"Naive","Naive","TGFB","1"
"Naive","Naive","TGFBe","1"
"Th1","Anergy","IFNG","0"
"Th1","Anergy","IFNG","0"
"Th1","Anergy","TCR","0"
"Th1","Anergy","TCR","0"
