"","Basal","pro-Th1","pro-Th2","pro-Th17","pro-Treg","Pro-Tr","CoV-mod","CoV-sev","CoV-sev-TGFB"
"Anergy",8670,1232,804,NA,NA,NA,1232,5264,NA
"Naive",16384,16384,16384,16384,16384,16384,16384,16384,16384
"Th1",940,6280,272,NA,NA,NA,6280,3936,NA
"Th17",NA,NA,NA,8704,156,NA,NA,NA,3456
"Th1R",2088,7992,264,1088,2672,2672,7992,6352,10288
"Th2",454,NA,8988,NA,NA,NA,NA,NA,NA
"Th2R",112,88,112,NA,NA,NA,88,80,NA
"Tr",4120,792,1192,6592,2110,13712,792,752,2640
"Treg",NA,NA,4752,NA,11446,NA,NA,NA,NA
