labels, rules
Th0,! (TCR | TBET | GATA3 | RORGT | FOXP3 | IL10 | TGFB)
Th1,(TBET & IFNG) & ! (IL10 | TGFB | FOXP3)
TBET+,TBET & ! (IFNG | IL10 | TGFB | FOXP3)
Th2,(GATA3 & IL4) & ! (IL10 | TGFB | FOXP3)
GATA3+,GATA3 & ! (IL4 | IL10 | TGFB | FOXP3)
Th17,RORGT & IL21
RORGT+,RORGT & ! IL21
Treg,FOXP3 & TGFB & ! (TBET | GATA3 | RORGT)
IL10+,IL10 & ! (FOXP3)
TGFB+,TGFB  & ! (RORGT | FOXP3)
Anergy,TCR & ! (TBET | GATA3 | RORGT | FOXP3 | IL10 | TGFB)
